subject,relation,object,evidence,doc_id,chunk_id
OpenAI,FOUNDED_BY,Elon Musk,"OpenAI was founded as the nonprofit organization OpenAI, Inc., by Elon Musk",1,doc1_chunk000
OpenAI,FOUNDED_BY,Sam Altman,"OpenAI was founded as the nonprofit organization OpenAI, Inc., by Sam Altman",1,doc1_chunk000
OpenAI,FOUNDED,2015,OpenAI was founded in 2015,1,doc1_chunk000
OpenAI,HEADQUARTERED_IN,San Francisco,headquartered in San Francisco,1,doc1_chunk000
OpenAI,DEVELOPED,GPT family,OpenAI developed the generative pre-trained transformer (GPT) family of large language models,1,doc1_chunk000
OpenAI,DEVELOPED,DALL-E series,OpenAI developed the DALL-E series of text-to-image models,1,doc1_chunk000
OpenAI,DEVELOPED,Sora series,OpenAI developed the Sora series of text-to-video models,1,doc1_chunk000
OpenAI,ACQUIRED,Microsoft,Microsoft previously invested over $13 billion into OpenAI,1,doc1_chunk000
OpenAI,CEO_OF,Sam Altman,OpenAI's board removed Sam Altman as CEO,1,doc1_chunk000
OpenAI,LOCATED_IN,Delaware,OpenAI was founded in 2015 in Delaware,1,doc1_chunk000
OpenAI,OWNED_BY,nonprofit,a 2025 restructuring converted the subsidiary into a PBC that is 26% owned by the nonprofit,1,doc1_chunk000
OpenAI,INVESTED_IN,1 billion,"A total of $1 billion in capital was pledged by Elon Musk, Sam Altman, Greg Brockman, Reid Hoffman, Jessica Livingston, Peter Thiel, Amazon Web Services (AWS), and Infosys",1,doc1_chunk000
OpenAI,LOCATED_IN,Mission District,"It was later headquartered at the Pioneer Building in the Mission District, San Francisco.",1,doc1_chunk001
OpenAI,DEVELOPED,OpenAI Gym,"In April 2016, OpenAI released a public beta of 'OpenAI Gym', its platform for reinforcement learning research.",1,doc1_chunk001
OpenAI,DEVELOPED,Universe,"In December 2016, OpenAI released 'Universe', a software platform for measuring and training an AI's general intelligence.",1,doc1_chunk001
OpenAI,ACQUIRED,DGX-1 supercomputer,Nvidia gifted its first DGX-1 supercomputer to OpenAI in August 2016.,1,doc1_chunk001
OpenAI,INVESTED_IN,52 employees,OpenAI spent $7 million on its first 52 employees in 2016.,1,doc1_chunk001
OpenAI,PARTNERED_WITH,Nvidia,Nvidia gifted its first DGX-1 supercomputer to OpenAI in August 2016.,1,doc1_chunk001
OpenAI,SUBSIDIARY_OF,Capped for-profit,"In 2019, OpenAI transitioned from nonprofit to 'capped' for-profit.",1,doc1_chunk001
OpenAI,OWNED_BY,Sam Altman,Co-chair Sam Altman expected a decades-long project that eventually surpasses human intelligence.,1,doc1_chunk001
OpenAI,FOUNDED_BY,"OpenAI, Inc","The holding company OpenAI LP was owned by the nonprofit OpenAI, Inc.",1,doc1_chunk002
OpenAI,TRANSITIONED_TO,capped for-profit,"In 2019, OpenAI transitioned from nonprofit to 'capped' for-profit.",1,doc1_chunk002
OpenAI LP,OWNED_BY,"OpenAI, Inc","The holding company OpenAI LP was owned by the nonprofit OpenAI, Inc.",1,doc1_chunk002
"OpenAI Global, LLC",OWNED_BY,OpenAI LP,"OpenAI Global, LLC, was owned by OpenAI LP and Microsoft.",1,doc1_chunk002
Microsoft,INVESTED_IN,OpenAI LP,Microsoft subsequently invested $1 billion in OpenAI LP.,1,doc1_chunk002
OpenAI,MIGRATED_TO,Microsoft Azure,OpenAI's services were migrated to Microsoft Azure.,1,doc1_chunk002
"OpenAI, Inc",CONTROLLED,OpenAI GP LLC,"The nonprofit OpenAI, Inc., controlled OpenAI GP LLC.",1,doc1_chunk002
"OpenAI, Inc",CONTROLLED,OpenAI LP,"The nonprofit OpenAI, Inc., controlled OpenAI GP LLC, which in turn controlled OpenAI LP.",1,doc1_chunk002
OpenAI,PROPOSED,public benefit corporation,"In December 2024, OpenAI proposed a restructuring plan to convert the capped-profit into a Delaware-based public benefit corporation.",1,doc1_chunk002
OpenAI,PLANNED_FOR,2025,"OpenAI's corporate structure, as of November 2025.",1,doc1_chunk002
OpenAI,PURSUED,charitable projects,"The nonprofit would sell its control and other assets, getting equity in return, and would use it to fund and pursue separate charitable projects.",1,doc1_chunk002
OpenAI,FOUNDED_BY,Nonprofit Organization,the nonprofit's founding mission to ensure AGI 'benefits all of humanity',1,doc1_chunk003
OpenAI,ACQUIRED,"OpenAI Global, LLC","the nonprofit is best positioned to advance its mission of ensuring AGI benefits all of humanity by continuing to control OpenAI Global, LLC",1,doc1_chunk003
OpenAI,DEVELOPED,OpenAI Group PBC,OpenAI announced that it had adopted the new PBC corporate structure,1,doc1_chunk003
OpenAI Foundation,OWNED_BY,OpenAI Group PBC,The OpenAI Foundation holds a 26% stake in the PBC,1,doc1_chunk003
Microsoft,INVESTED_IN,OpenAI,Microsoft announced an additional US$10 billion investment in OpenAI,1,doc1_chunk003
OpenAI,LOCATED_IN,California,the attorneys general of California and Delaware to intervene,1,doc1_chunk003
OpenAI,PARTNERED_WITH,Microsoft,Partnership with Microsoft Following Microsoft original 2019 investment,1,doc1_chunk003
OpenAI,SUBSIDIARY_OF,OpenAI Foundation,All members of the OpenAI Group PBC board of directors are to be appointed by the OpenAI Foundation,1,doc1_chunk003
OpenAI,ACQUIRED,Copilot,Microsoft used OpenAI models for its Copilot chatbot,1,doc1_chunk003
OpenAI,VALUED_AT,29 billion,"These investments were made at, a $29 billion valuation, double OpenAI's 2021 value.",1,doc1_chunk004
Microsoft,OWNED_BY,OpenAI Group PBC,"Following OpenAI's 2025 restructuring, Microsoft owned a 27% stake in the for-profit OpenAI Group PBC",1,doc1_chunk004
OpenAI,PURCHASED,250 billion of Azure services,OpenAI agreed to purchase $250 billion of Azure services,1,doc1_chunk004
OpenAI,SPENT_ON,cloud computing,"In 2017, OpenAI spent $7.9 million, a quarter of its functional expenses, on cloud computing alone.",1,doc1_chunk004
OpenAI,RENTED_FROM,Google,"In the summer of 2018, training OpenAI's Dota 2 bots required renting 128,000 CPUs and 256 GPUs from Google",1,doc1_chunk004
OpenAI,VALUED_AT,157 billion,"In October 2024, OpenAI completed a $6.6 billion capital raise with a $157 billion valuation",1,doc1_chunk004
Donald Trump,ANNOUNCED,The Stargate Project,"On January 21, 2025, Donald Trump announced The Stargate Project",1,doc1_chunk004
OpenAI,PARTNERED_WITH,Oracle,"The Stargate Project, a joint venture between OpenAI, Oracle, SoftBank and MGX",1,doc1_chunk004
OpenAI,RECEIVED,200 million contract,"In July, the United States Department of Defense announced that OpenAI had received a $200 million contract for AI in the military",1,doc1_chunk004
OpenAI,PARTNERED_WITH,SoftBank,"a joint venture between OpenAI, Oracle, SoftBank and MGX",1,doc1_chunk005
OpenAI,PARTNERED_WITH,MGX,"a joint venture between OpenAI, Oracle, SoftBank and MGX",1,doc1_chunk005
OpenAI,PARTNERED_WITH,UK Government,the company made a deal with the UK Government to use ChatGPT and other AI tools in public services,1,doc1_chunk005
OpenAI,INVESTED_IN,50 million fund,OpenAI subsequently began a $50 million fund to support nonprofit and community organizations,1,doc1_chunk005
OpenAI,RAISED,40 billion,OpenAI raised $40 billion at a $300 billion post-money valuation,1,doc1_chunk005
OpenAI,CEO_OF,ChatGPT,driven by ChatGPT subscriptions,1,doc1_chunk005
OpenAI,RAISED,110 billion,OpenAI raised $110 billion at a $730 billion valuation,1,doc1_chunk005
OpenAI,CLOSED,122 billion funding round,the company announced that it closed a funding round of $122 billion in committed capital,1,doc1_chunk005
OpenAI,LOCATED_IN,United States,the United States Department of Defense announced that OpenAI had received a $200 million contract,1,doc1_chunk005
OpenAI,OWNED_BY,SoftBank,The financing round was led by SoftBank,1,doc1_chunk005
OpenAI,PROJECTED_REVENUE,200 billion by 2030,OpenAI targeting cash-flow-positive operations by 2029 and projecting revenue of approximately $200 billion by 2030.,1,doc1_chunk006
OpenAI,ACQUIRED,New York-based company,"In August 2023, it was announced that OpenAI had acquired the New York-based.",1,doc1_chunk006
OpenAI,VALUED_AT,500 billion,"In October 2025, OpenAI completed an employee share sale of up to $10 billion to existing investors which valued the company at $500 billion.",1,doc1_chunk006
OpenAI,HEADQUARTERED_IN,United States,OpenAI is a technology company based in the United States.,1,doc1_chunk006
OpenAI,PROJECTED_ADVERTISING_REVENUE,100 billion annually by 2030,"In April 2026, reports indicated that OpenAI projected approximately $2.5 billion in advertising revenue for the year, with estimates rising to $100 billion annually by 2030.",1,doc1_chunk006
OpenAI,SPENDING_PROJECTION,115 billion through 2029,OpenAI reports revised long-term spending projections totaling approximately $115 billion through 2029.,1,doc1_chunk006
